Mar 21 11:30:46 <chen>	Lets get started!!
Mar 21 11:30:48 *	jpunit has quit (Read error: 131 (Connection reset by peer))
Mar 21 11:31:02 <chen>	oops looks like he has a bad connection..
Mar 21 11:31:13 <chen>	To start with the project updates,
Mar 21 11:31:44 <chen>	A week or so to go for Evolution 3.4.0 and we are on a hard-code freeze at the moment..
Mar 21 11:32:25 <chen>	http://live.gnome.org/Evolution/Planning34 - gives a highlights the important tasks completed for 3.4
Mar 21 11:32:41 <chen>	http://live.gnome.org/Evolution/Planning36 is alive atm and please update the same,
Mar 21 11:32:57 <chen>	dvratil, u might want to get the webkit added there ?
Mar 21 11:33:07 <dvratil>	chen, it's already there  :)
Mar 21 11:33:15 <chen>	oops sorry :)
Mar 21 11:33:26 *	jpunit (~punit@122.179.60.160) has joined #evolution-meet
Mar 21 11:33:26 <chen>	thats the first :)
Mar 21 11:33:48 <chen>	http://www.gnome.org/news/2012/02/guadec-2012-call-for-participation/ - April 14th is the deadline
Mar 21 11:34:04 <chen>	for submitting the talks for coming guadec,
Mar 21 11:34:23 <chen>	would be nice to put some talks on evo..
Mar 21 11:34:41 <chen>	we definetly have lots of talk :)
Mar 21 11:35:15 <chen>	It would be nice to update  the developer documentations and have some tutorials up.. mbarnes, do you already have plans for it ?
Mar 21 11:35:27 <andre>	mbarnes can finally use an evo talk as a fake reason to make it to guadec :P
Mar 21 11:35:51 <chen>	hehe
Mar 21 11:36:17 <chen>	andre, its anyways not fake too, there's so much to talk :)
Mar 21 11:36:33 <mbarnes>	I have nothing planned for it
Mar 21 11:37:01 <andre>	mbarnes: come up with something random and buy icecream for the folks in the paper committee. should work.
Mar 21 11:37:01 *	jpunit has quit (Read error: 131 (Connection reset by peer))
Mar 21 11:37:18 *	chen will take it up then
Mar 21 11:37:32 *	lakhil (~lakhil@117.192.1.62) has joined #evolution-meet
Mar 21 11:37:38 <chen>	thats with the project updates,
Mar 21 11:37:53 <chen>	anything else to discuss before we move on to individual updates?
Mar 21 11:37:59 <chen>	hey lakhil!!
Mar 21 11:38:15 <lakhil>	hi chen 
Mar 21 11:38:57 <chen>	updates from myside, have been working on adding smart-card support for evolution-ews in sled as it,
Mar 21 11:39:31 <chen>	already has a downstream patch, will also be working on upstream fixes for the same in libsoup and glib-network
Mar 21 11:39:45 <chen>	and some small bug fixes..
Mar 21 11:39:56 <chen>	andre, anything to share?
Mar 21 11:40:13 *	jpunit (~punit@122.179.60.160) has joined #evolution-meet
Mar 21 11:40:19 <andre>	nope
Mar 21 11:40:22 <chen>	dvratil, updates?
Mar 21 11:40:25 <dvratil>	I just fixed various crashes, memory leaks and other things I broke
