Apr 29 06:06:10 <srag>	Hello guys
Apr 29 06:06:52 *	seb128 (~seb128@ANancy-158-1-16-202.w90-40.abo.wanadoo.fr) has joined #evolution-meet
Apr 29 06:07:04 <srag>	2.27.1 is moved to next monday as you know, and that gives us some time to get prepared with git
Apr 29 06:07:22 <srag>	but we are shrinking our oustanding patches
Apr 29 06:07:31 <srag>	should be done with most of them pretty soon.
Apr 29 06:07:57 <srag>	I assume, we have some agenda to discuss today, we can get to that asap
Apr 29 06:07:58 *	Fridrich is going to attach patches in bugzilla, because git is a bit above his paygrade for the while :)
Apr 29 06:08:05 <srag>	:)
Apr 29 06:08:33 *	srag is yet to commit to Evo/EDS git
Apr 29 06:08:49 <abharath>	:)
Apr 29 06:08:51 <srag>	I have a list of pending things to commit, just that Im mad schedule on Anjal for the next 2 weeks
Apr 29 06:08:59 <srag>	I should find some time.
Apr 29 06:09:04 <seb128>	is anybody still working on 2.26?
Apr 29 06:09:07 <srag>	I'll quickly move ahead
Apr 29 06:09:12 <srag>	seb128, of course..
Apr 29 06:09:29 <srag>	we still have two dot releases on stable 
Apr 29 06:09:31 <seb128>	calendar is quite broken there
Apr 29 06:09:35 <srag>	and you will see regular improvements
Apr 29 06:09:41 <srag>	chen, are you aware of it ?
Apr 29 06:09:42 <chen>	seb128, whats the issue?
Apr 29 06:09:52 <seb128>	chen: can't edit recursive events
Apr 29 06:10:05 <seb128>	those are not moved correctly or duplicated
Apr 29 06:10:11 <seb128>	when evolution doesn't crash
Apr 29 06:10:20 <chen>	seb128, have u filed any bug?
Apr 29 06:10:26 *	jony (~jjohnny@122.167.78.248) has joined #evolution-meet
Apr 29 06:10:27 <chen>	seb128, let me know the bug id..
Apr 29 06:10:36 <srag>	sure
Apr 29 06:10:42 <srag>	lets get around the channel
Apr 29 06:10:42 <seb128>	chen: http://bugzilla.gnome.org/show_bug.cgi?id=580720
Apr 29 06:10:42 <jony>	srag, i made it :) and hello all 
Apr 29 06:10:46 <srag>	andre, anything to share with us ?
Apr 29 06:10:48 <srag>	jony, awesome
Apr 29 06:11:02 <chen>	seb128, will look into it today
Apr 29 06:11:05 <seb128>	ups
Apr 29 06:11:12 <srag>	abharath, anything to share with us ?
Apr 29 06:11:27 <andre>	basically i want the e-d-s dbus port to become default, but there's not the right people here :)
Apr 29 06:11:30 <seb128>	chen: that one was a translation issue, I will give you the correct number in a few minutes
Apr 29 06:11:42 <chen>	seb128, sure
Apr 29 06:11:44 <abharath>	srag: We have a rework of external editor now on master
Apr 29 06:11:52 <abharath>	It works neat and is very lovely
Apr 29 06:11:59 <srag>	andre, right. I had poked Ross last week on it, 
