Apr 02 06:04:02 <srag>	Hello every one
Apr 02 06:04:17 <srag>	So, this is our first meeting in the 2.24 series
Apr 02 06:04:50 <srag>	Just few points...
Apr 02 06:05:10 <srag>	Monday we have our stable release in 2.22 series... just make sure that you have committed all your patches there
Apr 02 06:05:16 *	gicmo (~gicmo@91-65-151-236-dynip.superkabel.de) has joined #evolution-meet
Apr 02 06:05:19 <gicmo>	hey
Apr 02 06:05:20 <srag>	and be cautious about the freezes
Apr 02 06:05:23 <srag>	hey gicmo 
Apr 02 06:05:47 <srag>	Novell guys, our SLE patches MUST go here, unless it breaks freezes
Apr 02 06:06:25 <srag>	Otherwise I assume that we are busy writing new stuffs/redesigns for 2.24 series :)
Apr 02 06:06:49 <srag>	Nothing great otherwise from my side.. we can go around the channel
Apr 02 06:06:55 <srag>	abharath, anything to share with us ?
Apr 02 06:07:26 <abharath>	srag: working on some bugs. will start with PST after a couple of fixes
Apr 02 06:07:52 <srag>	abharath, PST import for 2000/2003/2007 is a must for 2.23.1.. can I assume? 
Apr 02 06:08:07 <abharath>	yep it is :)
Apr 02 06:08:19 <srag>	I think we can have conditional dependency on libpst and the plugin
Apr 02 06:08:29 <srag>	abharath, cool. 
Apr 02 06:08:33 <abharath>	maybe .2 but not later
Apr 02 06:08:34 <srag>	ashish, anything to share with us?
Apr 02 06:08:42 <srag>	abharath, no...... :)
Apr 02 06:08:42 <ashish>	srag, me also working on some bugs...
Apr 02 06:08:55 <srag>	ashish, your custom headers MUST for 2.23.1
Apr 02 06:09:02 <abharath>	srag: okies :)
Apr 02 06:09:06 <srag>	abharath, thx
Apr 02 06:09:07 <ashish>	srag, okies..:)
Apr 02 06:09:26 <srag>	ashish, you can get it committed much before the release.. so that it gets some testing...
Apr 02 06:09:39 <ashish>	srag, ok...sure...
Apr 02 06:09:43 <srag>	I think you will have a break with Matt's UI manager.. since composer plugins needs a rewrite after that
Apr 02 06:09:57 <srag>	so work according with sankar to get that done
Apr 02 06:10:07 <ashish>	srag, ok...
Apr 02 06:10:13 <srag>	hey gicmo... anything to share with us?
Apr 02 06:10:26 *	psankar (~evo@125.16.129.16) has joined #evolution-meet
Apr 02 06:10:36 <gicmo>	srag: a bit point on my ToDo is tasks support for CalDAV
