May 28 05:59:35 <srag>	Hello everyone
May 28 05:59:56 <srag>	we had released 2.22.2 on Monday which would hit the streets in a few days
May 28 06:00:07 <srag>	and looking forward for GNOME 2.23.3 on monday
May 28 06:00:38 <srag>	shashish's custom sending headers committed for 2.23.3
May 28 06:00:46 <srag>	shashish, you need to close the pending issues without fail
May 28 06:00:54 <srag>	apart from that we don't have anything big
May 28 06:00:57 <shashish>	srag, sure...
May 28 06:01:27 <srag>	I'm looking for disk summary to be there in 2.23.4/.5
May 28 06:01:41 <srag>	so be prepared to give it a huge shake
May 28 06:01:57 <srag>	I have already started discussion with the release team for having sqlite in our dependency 
May 28 06:02:16 <srag>	and some discussions are there in progress there, with respect to having it through libgda
May 28 06:02:23 <srag>	or direct linkage
May 28 06:03:01 <mcrha>	I guess it will solve the problem with move to large file support on 32 bit machines too, right?
May 28 06:03:13 <srag>	otherwise, everything is going smooth. and me / psankar are having good time with it
May 28 06:03:19 <srag>	psankar, yeah
May 28 06:03:22 <srag>	mcrha, yeah
May 28 06:03:31 <srag>	mcrha, it will solve lots of problems
May 28 06:03:34 <psankar>	mcrha, yes. we will have big datatypes to hold offsets
May 28 06:03:35 <mcrha>	ok, thanks
May 28 06:03:35 <srag>	I have a huge list :)
May 28 06:03:45 <srag>	psankar, no more offsets dude
May 28 06:03:54 <srag>	psankar, confused... sorry
May 28 06:04:09 <srag>	psankar, I was thinking of moving to maildir for local providers
May 28 06:04:22 *	varadhan (~bhargavi@59.92.199.146) has joined #evolution-meet
May 28 06:04:25 <srag>	as mbox now-a-day proving too costly interms of rewriting files etc
May 28 06:04:30 <psankar>	srag, yeah.. which will be beneficial. I tried it and if we fix the copy etc. it will be much better
May 28 06:04:37 <psankar>	srag, agreed
May 28 06:04:39 <srag>	and crashes are too expensive to fix the broken mbox
May 28 06:04:57 <srag>	and I had some discussion with fejj also and he suggested that maildir can be a good option there
May 28 06:05:04 <srag>	psankar, I was replying in that context :)
May 28 06:05:14 <srag>	if that, then no offsets, just uris :)
May 28 06:05:22 <psankar>	okay gotcha
May 28 06:05:32 <mcrha>	what's the planned time frame for that?
May 28 06:05:39 <srag>	mcrha, maildir?
May 28 06:05:42 <mcrha>	yes
May 28 06:05:51 <srag>	I want to do it for 2.23.4
May 28 06:05:56 <srag>	it needs good migration code also
May 28 06:06:06 <mcrha>	good
May 28 06:06:08 <srag>	thought the base code is nothing expect the default code
May 28 06:06:30 <srag>	mcrha, if I can get a volunteer, it will be great ;-)
May 28 06:06:41 <mcrha>	volunteer for what?
May 28 06:06:49 <srag>	for maildir task 
May 28 06:06:56 <srag>	with me sunk in disk summary, this seem to be slipping every now and then
May 28 06:06:59 <mcrha>	I thought psankar is playing with it
May 28 06:07:00 <psankar>	srag, mcrha : There were some problems with copy operations
May 28 06:07:09 <psankar>	srag, mcrha : Apart from that it looks pretty neat
May 28 06:07:12 <srag>	psankar, it is there in normal cases also I think
May 28 06:07:15 <srag>	psankar, we can fix it
May 28 06:07:23 <mcrha>	s/can/should
May 28 06:07:24 <mcrha>	;)
May 28 06:07:27 <psankar>	mcrha, I jsut looked at it for a day and ditched it for working on Disk-summary
May 28 06:07:38 <srag>	we need some one who tries it, fixes bugs around and migrate the users
