Feb 25 05:00:56 <srag>	Hello everyone
Feb 25 05:01:05 <srag>	we can wait for another 1minute
Feb 25 05:02:03 <seb128>	hey srag
Feb 25 05:02:42 <srag>	I can see a shorter list on the right side :(
Feb 25 05:02:55 <srag>	anyways, lets move on
Feb 25 05:03:29 <srag>	We would be having 2.24.5 today
Feb 25 05:03:47 <srag>	and thanks a lot for mbarnes for sharing the build/release responsibility with me
Feb 25 05:03:58 <seb128>	yeah for mbarnes!
Feb 25 05:04:01 <srag>	I would be pretty busy for the next 1 month or so, with Novell work
Feb 25 05:04:56 <seb128>	will you still look at evo bugs and roll 2.25 and 2.26 tarballs?
Feb 25 05:04:59 <srag>	We didn't add much features on 2.26.x and andre rightly mentioned that 2.26.0 would be a stable release of 2.26.0
Feb 25 05:05:05 <seb128>	or is mbarnes going to do those?
Feb 25 05:05:17 <srag>	seb128, I would still fix bug, and do tarballs in between
Feb 25 05:05:26 <srag>	Im not loading mbarnes fully :).
Feb 25 05:05:36 <seb128>	srag: I think that's doing stabilization is a good choice
Feb 25 05:05:45 <srag>	sure
Feb 25 05:06:02 <srag>	in a couple of weeks or so, I would have a good idea on what would be our take on 2.28.x
Feb 25 05:06:22 <srag>	my next 1 month work would answer a lot on those lines.. <some confidential internal work
Feb 25 05:06:43 <srag>	otherwise, things are just normal here
Feb 25 05:06:58 <srag>	I should be clearing hte patch backlogs from now on
Feb 25 05:07:02 <srag>	I did clear ~20 yesterday
Feb 25 05:07:13 <srag>	and we should be back to a controlled number in a week or so
Feb 25 05:07:30 <srag>	Thatz it from my side
Feb 25 05:07:52 <srag>	mbarnes, anything to share with us ? good luck with 2.24.5 release :)
Feb 25 05:08:47 <srag>	abharath, anything to share with us ?
Feb 25 05:09:10 <abharath>	srag: nothing much. Just working on some bugs. nothing much to add
Feb 25 05:09:31 <srag>	abharath, PST is new in 2.26.x right ?
Feb 25 05:09:40 <abharath>	srag: ;)
Feb 25 05:09:41 *	srag is lost in his current work
Feb 25 05:09:54 <abharath>	I had asked you to add it to our page :D
Feb 25 05:10:08 <srag>	abharath, infact I added ot the GNOME RoadMAP/release notes iirc
Feb 25 05:10:14 <srag>	chen, anything to share with us ?
Feb 25 05:10:25 <srag>	chen, I had CCed you on some patches that mcrha asked me to look at
Feb 25 05:10:29 <abharath>	srag: okies. Haven't checked
Feb 25 05:10:34 <chen>	srag, making some fixes in evolution-sharp and restarted to work on sharepoint connector
Feb 25 05:10:53 <chen>	srag, i have already started looking into some of the patches
Feb 25 05:11:20 <srag>	incase, others didn't know, chen had a working mono-based e-d-s loaded and he had written initial calendar backend for Microsoft SharePoint
Feb 25 05:11:30 *	mcrha would prefer all, not "only" some ;)
